NatEmis,Official_Institution_Name,CMC,EICircuit,Phase_PED,F,Gr R,Gr 1,Year(s) on the Programme,Matched_GPS_Coordinates,,,Matched_Area
200100002,AARON GQADU PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,24,34,2025,"-33.86645870471302, 25.585549895757534",,,Kwazakhele
200100020,ALEX JAYIYA PRIMARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,29,19,2025,"-33.80499691950696, 25.393323332607014",,,KwaNobuhle
200100058,BEN SINUKA PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,27,39,2025,"-33.892212026209094, 25.602572651578065",,,New brighton
200100125,COEGA PRIMARY SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,167,150,2025,"-33.82025893308656, 25.635584924591072",,,Wells Estate
200100166,DIAS FARM SCHOOL,Central,NM Central-3,2. PRIMARY,2,10,14,2025,"-33.98601201643369, 25.471207709255697",,,Theescomber
200100196,ELUFEFENI PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,43,35,2025,"-33.81601997323924, 25.57772218226325",,,Motherwell
200100197,ELUKHOLWENI PRIMARY SCHOOL,Central,NM Central-3,2. PRIMARY,3,4,20,2025,"-34.01000120537367, 25.50643010925695",,,Theescomber
200100213,ESITIYENI PUBLIC PRIMARY SCHOOL,Central,NM Central-1,2. PRIMARY,3,67,61,2025,"-33.85910863446306, 25.561905376908946",,,Zwide
200100275,GREENVILLE PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,8,17,2025,"-33.870977616572354, 25.501658538085398",,,Bethelsdorp
200100299,HELENVALE PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,78,92,2025,"-33.911083557579026, 25.55202829576001",,,Helenvale
200100329,ILINGE PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,117,124,2025,"-33.74316124832974, 25.38740920738895",,,KwaLanga
200100340,ISAAC BOOI SENIOR PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,150,134,2025,"-33.86990052398783, 25.567029176187894",,,Zwide
